path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/select_008.mp3	0.131	0.4949	0.0400
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_001.mp3	0.679	0.8234	0.0379
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_002.mp3	0.679	0.8288	0.0503
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_003.mp3	0.575	0.8481	0.1528
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_004.mp3	0.575	0.8489	0.0561
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_005.mp3	0.679	0.8661	0.0669
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_006.mp3	0.679	0.8351	0.0529
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/switch_007.mp3	0.679	0.8519	0.0503
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/tick_001.mp3	0.104	0.4805	0.0299
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/tick_002.mp3	0.078	0.4425	0.0421
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/tick_004.mp3	0.131	0.6062	0.0699
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/toggle_001.mp3	0.235	0.6129	0.1016
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/toggle_002.mp3	0.209	0.6227	0.1356
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/toggle_003.mp3	0.235	0.5888	0.0946
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/toggle_004.mp3	0.131	0.6012	0.0698
Assets/_Project/AudioEffects/packs/kenney_rpg-audio/beltHandle1.mp3	0.340	0.5736	0.0306
Assets/_Project/AudioEffects/packs/kenney_rpg-audio/beltHandle2.mp3	0.549	0.4600	0.0205
Assets/_Project/AudioEffects/packs/kenney_rpg-audio/bookClose.mp3	0.313	1.0000	0.0949
Assets/_Project/AudioEffects/packs/kenney_rpg-audio/bookFlip1.mp3	0.836	1.0000	0.0284
Assets/_Project/AudioEffects/packs/kenney_rpg-audio/bookFlip2.mp3	0.522	0.3369	0.0120
